MESE;ANNO;CATEGORIA;NOME;IMPORTO
settembre;2023;IMPREVISTI;multa;50,00 €
settembre;2023;ALTRO;ctp;29,00 €
settembre;2023;ALTRO;mc;6,40 €
ottobre;2023;ABBIGLIAMENTO;maglia real;22,00 €
ottobre;2023;ABBIGLIAMENTO;trusox;7,00 €
ottobre;2023;ABBIGLIAMENTO;cinturino;2,00 €
ottobre;2023;VIAGGI;autostrada;7,30 €
ottobre;2023;VIAGGI;madeira;459,78 €
ottobre;2023;SPORT;pizza calcio;10,00 €
ottobre;2023;SPORT;calcetto;5,00 €
ottobre;2023;ALTRO;coop;4,00 €
ottobre;2023;ALTRO;ctp parma;19,00 €
ottobre;2023;ALTRO;foodspring;22,00 €
novembre;2023;ALTRO;ctp;23,00 €
novembre;2023;ALTRO;comple papa;103,00 €
novembre;2023;ABBIGLIAMENTO;panda;66,33 €
novembre;2023;ABBIGLIAMENTO;panda2;45,48 €
novembre;2023;ABBIGLIAMENTO;;22,30 €
novembre;2023;ABBIGLIAMENTO;sped;60,42 €
novembre;2023;ABBIGLIAMENTO;;-24,11 €
novembre;2023;ABBIGLIAMENTO;scarpe calc;41,24 €
dicembre;2023;VIAGGI;casa montagna;184,00 €
dicembre;2023;VIAGGI;salam;12,00 €
dicembre;2023;VIAGGI;bar;12,50 €
dicembre;2023;VIAGGI;spesa;51,60 €
dicembre;2023;VIAGGI;nolo;87,00 €
dicembre;2023;VIAGGI;skipass;208,00 €
dicembre;2023;VIAGGI;rifugio;20,30 €
dicembre;2023;GITE;lidl;7,00 €
dicembre;2023;GITE;nolo;37,00 €
dicembre;2023;GITE;skipass;72,00 €
dicembre;2023;GITE;auto;45,00 €
dicembre;2023;ALTRO;autostrada;8,70 €
dicembre;2023;ALTRO;cena ing;45,00 €
dicembre;2023;ALTRO;puzzone;8,07 €
gennaio;2024;ABBIGLIAMENTO;CORTEZ;55,38 €
gennaio;2024;VIAGGI;VOLO LONDRA;95,00 €
gennaio;2024;GITE;bernina;140,00 €
gennaio;2024;GITE;autostrada;16,80 €
gennaio;2024;GITE;coop;4,19 €
gennaio;2024;GITE;bar;9,54 €
gennaio;2024;GITE;prnzo skt moritz;17,50 €
gennaio;2024;GITE;benza;47,04 €
gennaio;2024;ELISA;torta;21
febbraio;2024;ABBIGLIAMENTO;profumo;10,00 €
febbraio;2024;VIAGGI;nolo;50,00 €
febbraio;2024;VIAGGI;skipass;7,00 €
febbraio;2024;VIAGGI;bar;8,20 €
febbraio;2024;VIAGGI;autostrada;13,00 €
febbraio;2024;VIAGGI;benza;20,00 €
febbraio;2024;VIAGGI;londra;38,00 €
febbraio;2024;VIAGGI;garni;120,00 €
febbraio;2024;ABBIGLIAMENTO;PND;262,79 €
febbraio;2024;ABBIGLIAMENTO;;16,66 €
febbraio;2024;ABBIGLIAMENTO;;25,85 €
febbraio;2024;ABBIGLIAMENTO;vietnam;16,50 €
febbraio;2024;ABBIGLIAMENTO;sped;52,42 €
febbraio;2024;ALTRO;mc;5,00 €
febbraio;2024;ALTRO;cena atl;20,00 €
febbraio;2024;ALTRO;sci;250,00 €
marzo;2024;ALTRO;carità ;2,00 €
marzo;2024;ALTRO;ctp;22,50 €
marzo;2024;ALTRO;cena squadra;21,00 €
marzo;2024;ALTRO;caparra;975,00 €
aprile;2024;ALTRO;celibato enri;58,00 €
aprile;2024;ALTRO;lav car;15,00 €
aprile;2024;ALTRO;tagliaunghie;10,90 €
aprile;2024;ALTRO;tavolo atletico;45,00 €
aprile;2024;IMPREVISTI;fabbro;70,00 €
aprile;2024;IMPREVISTI;viva azzurri;15,00 €
maggio;2024;ABBIGLIAMENTO;cssbuy;69,96 €
maggio;2024;ABBIGLIAMENTO;;31,38 €
maggio;2024;VIAGGI;ischia;40,13 €
luglio;2024;ALTRO;grigliata;10,00 €
luglio;2024;ALTRO;comple leo;180,00 €
luglio;2024;ALTRO;sd;22,22 €
luglio;2024;VIAGGI;Napoli ischia;331,80 €
agosto;2024;IMPREVISTI;Avvocato;200,00 €
agosto;2024;VIAGGI;puglia;341,24 €
agosto;2024;ABBIGLIAMENTO;nike;19,48 €
settembre;2024;VIAGGI;ass. medica ;57,99 €
settembre;2024;VIAGGI;coprizaino;35,99 €
ottobre;2024;ABBIGLIAMENTO;maglione polo;35,00 €
ottobre;2024;ABBIGLIAMENTO;air max 1;67,28 €
ottobre;2024;ABBIGLIAMENTO;mutande ck;23,00 €
ottobre;2024;SPORT;pesi 10kg;44,98
novembre;2024;VIAGGI;zermatt;91,85 €
novembre;2024;GITE;bacaro tour;94,20 €
novembre;2024;ABBIGLIAMENTO;dunk;47,09 €
novembre;2024;ABBIGLIAMENTO;jordan rm;85,00 €
dicembre;2024;VIAGGI;benza;34,00 €
dicembre;2024;VIAGGI;Capodanno;342,05 €
dicembre;2024;VIAGGI;Egitto;438,78 €
dicembre;2024;VIAGGI;Montagna;231,00 €
gennaio;2025;ABBIGLIAMENTO;valigia samsonite;146,50 €
gennaio;2025;ABBIGLIAMENTO;lavanderia;5,00 €
gennaio;2025;ABBIGLIAMENTO;scarpe;110,00 €
gennaio;2025;VIAGGI;hotel zermat;226,50 €
gennaio;2025;VIAGGI;Cervinia tutto;553,28 €
febbraio;2025;VIAGGI;barca volo;195,00 €
febbraio;2025;VIAGGI;corvara;335,95 €
febbraio;2025;ABBIGLIAMENTO;camicia polo;52,50 €
febbraio;2025;ABBIGLIAMENTO;SB;219,83 €
marzo;2025;VIAGGI;Barcellona ;168,00 €
marzo;2025;ABBIGLIAMENTO;Nike;34,99 €
marzo;2025;ABBIGLIAMENTO;Spal;25,00 €
aprile;2025;SPORT;rack+bila;509,00 €
aprile;2025;VIAGGI;Traghetto;194,00 €
aprile;2025;VIAGGI;Casa Barca;188,00 €
aprile;2025;VIAGGI;BARCA;306,92 €
maggio;2025;ABBIGLIAMENTO;trail running shoes+zaino;94,98 €
maggio;2025;VIAGGI;volo;699,00 €
giugno;2025;VIAGGI;casa Manarola;64,48 €
giugno;2025;ABBIGLIAMENTO;sped;34,00 €
giugno;2025;ABBIGLIAMENTO;h&m;40,00 €
luglio;2025;VIAGGI;casa sardegna;356,00 €
luglio;2025;VIAGGI;barca;40,00 €
luglio;2025;GITE;autostrada;13,28 €
luglio;2025;GITE;pranzo rifugio x2;47,00 €
luglio;2025;GITE;hotel fiames;70,00 €
luglio;2025;GITE;cena;32,50 €
luglio;2025;GITE;pranzi;46,50 €
luglio;2025;ALTRO;Festa;147,50 €
luglio;2025;ELISA;Cena;142,00 €
agosto;2025;GITE;colaz friederich + parking;17,00 €
agosto;2025;GITE;cena;40,00 €
agosto;2025;GITE;benza e autostrada;44,38 €
agosto;2025;ABBIGLIAMENTO;scarpe calcio;89,00 €
agosto;2025;ABBIGLIAMENTO;scarpe corsa;45,00 €
agosto;2025;ABBIGLIAMENTO;scarpe trekking;99,00 €
agosto;2025;ABBIGLIAMENTO;completo;47,50 €
ottobre;2025;VIAGGI;nepal;1.606,26 €
ottobre;2025;ABBIGLIAMENTO;predator;54,90 €
novembre;2025;ABBIGLIAMENTO;t90;54,99 €
novembre;2025;ABBIGLIAMENTO;camicia;35,20 €
novembre;2025;ABBIGLIAMENTO;ovs;6,36 €
dicembre;2025;GITE;autostrada sci;12,70 €
dicembre;2025;GITE;skipass;80,00 €
dicembre;2025;GITE;;19,60 €
dicembre;2025;VIAGGI;GRAZ;136,00 €
dicembre;2025;VIAGGI;;26,40 €
dicembre;2025;VIAGGI;montagna;200,00 €
dicembre;2025;ABBIGLIAMENTO;maribor;18,00 €
dicembre;2025;ABBIGLIAMENTO;corinthians;19,00 €
gennaio;2026;VIAGGI;montagna;406,47 €
gennaio;2026;VIAGGI;;200,00 €
gennaio;2026;SPORT;inter;69,00 €
