MESE;ANNO;STIPENDIO;RIPETIZIONI;CEDOLE;VENDITA;RIMBORSI;REGALI;TOTALE;SALDO;;;;;;;;;;;;;;;;;;
Totale anno;2025;29.046,40 €;100,00 €;60,00 €;50,00 €;517,50 €;120,00 €;29.893,90 €;;;;;;;;;;;;;;;;;;;
gennaio;2026;2.038,00 €;0,00 €;;;;0,00 €;2.038,00 €;3.326,87 €;;;;;;;;;;;;;;;;;;
febbraio;2026;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;3.326,87 €;;;;;;;;;;;;;;;;;;
marzo;2026;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;3.326,87 €;;;;;;;;;;;;;;;;;;
aprile;2026;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;3.326,87 €;;;;;;;;;;;;;;;;;;
maggio;2026;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;3.326,87 €;;;;;;;;;;;;;;;;;;
giugno;2026;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;3.326,87 €;;;;;;;;;;;;;;;;;;
luglio;2026;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;3.326,87 €;;;;;;;;;;;;;;;;;;
agosto;2026;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;3.326,87 €;;;;;;;;;;;;;;;;;;
settembre;2026;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;3.326,87 €;;;;;;;;;;;;;;;;;;
ottobre;2026;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;3.326,87 €;;;;;;;;;;;;;;;;;;
novembre;2026;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;3.326,87 €;;;;;;;;;;;;;;;;;;
dicembre;2026;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;3.326,87 €;;;;;;;;;;;;;;;;;;
Totale anno;2026;2.038,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;2.038,00 €;;;;;;;;;;;;;;;;;;;
