MESE;ANNO;BAR;REGAZ;ELISA;LAVORO;ABBIGLIAMENTO;VIAGGI;GITE;SPORT;AUTO;BENZINA;FORMAZIONE;CHIAVE;CURA;SALUTE;REGALI;CASA;AFFITTO;ABBONAMENTI;CONTO DEPOSIT;OBBLIGAZIONI;AZIONARIO;IMPREVISTI;ALTRO;DEBITO;TOTALE;
novembre;2023;2,30 €;92,70 €;40,00 €;25,50 €;211,66 €;0,00 €;8,80 €;45,30 €;500,00 €;148,08 €;;10,00 €;15,00 €;21,00 €;0,00 €;0,00 €;0,00 €;5,99 €;;0,00 €;0,00 €;0,00 €;127,50 €;0,00 €;1.253,83 €;
dicembre;2023;3,00 €;168,20 €;0,00 €;27,00 €;0,00 €;585,40 €;161,00 €;8,60 €;500,00 €;186,00 €;;20,00 €;23,00 €;0,00 €;314,55 €;0,00 €;0,00 €;5,99 €;;0,00 €;0,00 €;0,00 €;61,77 €;0,00 €;2.064,51 €;
Totale anno;2023;65,90 €;1.101,00 €;609,74 €;133,73 €;1.660,66 €;5.421,17 €;253,83 €;273,09 €;7.355,97 €;1.914,39 €;15,20 €;252,00 €;124,00 €;188,95 €;641,84 €;0,00 €;0,00 €;66,93 €;0,00 €;1.000,00 €;0,00 €;1.700,00 €;1.266,36 €;0,00 €;24.044,76 €;
gennaio;2024;1,10 €;95,65 €;62,50 €;8,50 €;55,38 €;95,00 €;200,07 €;23,60 €;500,00 €;147,00 €;;30,00 €;;;43,23 €;0,00 €;0,00 €;5,99 €;;0,00 €;0,00 €;624,50 €;26,00 €;0,00 €;1.918,52 €;
febbraio;2024;3,60 €;127,00 €;23,00 €;16,40 €;10,00 €;271,07 €;0,00 €;17,00 €;500,00 €;162,70 €;;20,00 €;20,00 €;47,00 €;10,00 €;0,00 €;0,00 €;5,99 €;;0,00 €;200,00 €;0,00 €;92,39 €;0,00 €;1.526,15 €;
marzo;2024;8,40 €;136,40 €;76,40 €;5,40 €;374,22 €;0,00 €;0,00 €;27,00 €;502,50 €;147,10 €;0,00 €;20,00 €;0,00 €;65,89 €;10,00 €;0,00 €;0,00 €;5,99 €;;0,00€;100,00€;10,00€;275,00€;0,00€;1.764,30 €;
aprile;2024;3,60 €;108,53 €;41,80 €;19,80 €;83,14 €;1.351,46 €;0,00 €;14,00 €;500,00 €;121,00 €;;10,00 €;15,00 €;0,00 €;;336,64 €;325,00 €;0,00 €;;0,00 €;200,00 €;0,00 €;1.020,50 €;0,00 €;4.150,47 €;
maggio;2024;6,60 €;98,80 €;29,00 €;;82,49 €;0,00 €;0,00 €;52,50 €;760,70 €;145,04 €;;20,00 €;20,00 €;;281,50 €;363,11 €;0,00 €;5,99 €;;0,00 €;200,00 €;85,00 €;128,90 €;0,00 €;2.279,63 €;
giugno;2024;;137,05 €;0,00 €;;101,34 €;40,13 €;0,00 €;15,50 €;500,00 €;98,70 €;;20,00 €;;0,00 €;;257,28 €;0,00 €;16,99 €;;0,00 €;100,00 €;47,29 €;76,20 €;0,00 €;1.410,48 €;
luglio;2024;;127,50 €;27,00 €;;147,16 €;331,80 €;0,00 €;21,00 €;503,00 €;153,49 €;;30,00 €;0,00 €;65,00 €;100,00 €;365,50 €;0,00 €;5,99 €;;0,00 €;100,00 €;0,00 €;212,22 €;0,00 €;2.189,66 €;
agosto;2024;5,60 €;56,20 €;6,00 €;;19,48 €;341,24 €;0,00 €;10,00 €;579,00 €;72,49 €;;20,00 €;;0,00 €;40,00 €;80,83 €;0,00 €;55,89 €;;0,00 €;100,00 €;200,00 €;20,00 €;0,00 €;1.606,73 €;
settembre;2024;;37,30 €;6,10 €;;0,00 €;93,98 €;0,00 €;0,00 €;1.058,00 €;71,90 €;;20,00 €;0,00 €;0,00 €;;327,29 €;0,00 €;5,99 €;;0,00 €;200,00 €;0,00 €;0,00 €;0,00 €;1.820,56 €;
ottobre;2024;1,20 €;78,00 €;8,00 €;;125,28 €;1.584,26 €;0,00 €;86,48 €;500,00 €;68,99 €;;34,80 €;0,00 €;;50,00 €;10,45 €;325,00 €;10,00 €;;0,00 €;0,00 €;0,00 €;53,70 €;0,00 €;2.936,16 €;
novembre;2024;3,70 €;87,00 €;6,00 €;16,30 €;132,09 €;91,85 €;94,20 €;38,00 €;523,00 €;143,50 €;;2,20 €;18,00 €;;0,00 €;27,00 €;325,00 €;5,99 €;;0,00 €;360,00 €;0,00 €;42,00 €;0,00 €;1.915,83 €;
dicembre;2024;2,60 €;39,00 €;0,00 €;;0,00 €;1.045,83 €;0,00 €;0,00 €;503,00 €;82,00 €;;18,80 €;18,00 €;207,00 €;306,00 €;0,00 €;162,50 €;5,99 €;;0,00 €;100,00 €;0,00 €;64,30 €;0,00 €;2.555,02 €;
Totale anno;2024;36,40 €;1.128,43 €;285,80 €;66,40 €;1.130,58 €;5.246,62 €;294,27 €;305,08 €;6.929,20 €;1.413,91 €;0,00 €;245,80 €;91,00 €;384,89 €;840,73 €;1.768,10 €;1.137,50 €;130,80 €;0,00 €;0,00 €;1.660,00 €;966,79 €;2.011,21 €;0,00 €;26.073,51 €;
gennaio;2025;6,70 €;41,00 €;19,50 €;15,00 €;261,50 €;685,78 €;0,00 €;8,00 €;1.024,00 €;95,00 €;;11,20 €;15,00 €;273,95 €;86,45 €;82,75 €;325,00 €;5,99 €;;0,00 €;100,00 €;439,80 €;13,50 €;0,00 €;3.510,12 €;
febbraio;2025;14,48 €;80,50 €;21,60 €;18,00 €;272,33 €;;0,00 €;46,00 €;500,00 €;150,00 €;;18,84 €;;;74,00 €;91,39 €;325,00 €;5,99 €;;0,00 €;100,00 €;0,00 €;374,69 €;0,00 €;2.092,82 €;
marzo;2025;10,00 €;71,10 €;20,00 €;24,00 €;59,99 €;168,00 €;26,40 €;0,00 €;520,00 €;138,97 €;0,00 €;;18,00€;;10,00€;600,89€;0,00€;41,99€;;0,00€;100,00€;0,00€;93,30€;0,00€;1.902,64 €;
aprile;2025;11,60 €;135,81 €;0,00 €;22,60 €;0,00 €;688,92 €;9,20 €;522,50 €;500,00 €;105,58 €;;;15,00 €;70,00 €;26,00 €;34,48 €;325,00 €;5,99 €;;0,00 €;100,00 €;0,00 €;32,70 €;0,00 €;2.605,38 €;
maggio;2025;23,00 €;112,75 €;37,65 €;43,90 €;94,98 €;699,00 €;82,69 €;26,50 €;759,50 €;202,44 €;;20,00 €;;154,98 €;23,00 €;115,93 €;325,00 €;5,99 €;;0,00 €;100,00 €;0,00 €;;0,00 €;2.827,31 €;
giugno;2025;4,40 €;130,30 €;19,50 €;11,40 €;74,00 €;64,48 €;0,00 €;31,00 €;500,00 €;;;10,00 €;18,00 €;25,35 €;;510,17 €;325,00 €;5,99 €;;0,00 €;100,00 €;0,00 €;;0,00 €;1.829,59 €;
luglio;2025;9,00 €;142,00 €;0,00 €;13,50 €;224,90 €;396,00 €;209,28 €;6,00 €;501,80 €;226,97 €;;20,00 €;18,00 €;;;96,01 €;225,00 €;5,99 €;;0,00 €;100,00 €;0,00 €;414,74 €;0,00 €;2.609,19 €;
agosto;2025;13,00 €;59,00 €;0,00 €;15,30 €;280,50 €;101,38 €;0,00 €;5,00 €;500,00 €;65,70 €;;10,00 €;25,00 €;23,00 €;2,99 €;38,27 €;325,00 €;55,98 €;;0,00 €;100,00 €;0,00 €;0,00 €;0,00 €;1.620,12 €;
settembre;2025;9,40 €;103,90 €;50,00 €;46,80 €;0,00 €;0,00 €;0,00 €;0,00 €;1.069,00 €;142,29 €;;10,00 €;0,00 €;36,15 €;;170,27 €;0,00 €;5,99 €;;0,00 €;100,00 €;464,69 €;1.108,34 €;0,00 €;3.316,83 €;
ottobre;2025;;112,60 €;12,00 €;4,80 €;54,90 €;1.606,26 €;0,00 €;6,00 €;500,00 €;149,70 €;;10,00 €;21,00 €;4,00 €;67,10 €;396,17 €;325,00 €;5,99 €;;0,00 €;100,00 €;51,50 €;0,00 €;0,00 €;3.427,02 €;
novembre;2025;;81,37 €;0,00 €;10,62 €;96,55 €;0,00 €;0,00 €;5,00 €;500,00 €;76,50 €;;10,00 €;20,00 €;;39,20 €;0,00 €;325,00 €;5,99 €;;0,00 €;100,00 €;47,85 €;82,70 €;0,00 €;1.400,78 €;
dicembre;2025;3,20 €;161,50 €;0,00 €;9,00 €;37,00 €;362,40 €;112,30 €;7,00 €;500,00 €;236,05 €;;22,84 €;18,00 €;220,00 €;148,90 €;48,97 €;325,00 €;5,99 €;;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;2.218,15 €;
Totale anno;2025;104,78 €;1.231,83 €;180,25 €;234,92 €;1.456,65 €;4.772,22 €;439,87 €;663,00 €;7.374,30 €;1.589,20 €;0,00 €;142,88 €;168,00 €;807,43 €;477,64 €;2.185,30 €;3.150,00 €;157,87 €;0,00 €;0,00 €;1.100,00 €;1.003,84 €;2.119,97 €;0,00 €;29.359,95 €;
gennaio;2026;7,00 €;68,00 €;15,00 €;9,60 €;10,95 €;606,47 €;0,00 €;69,00 €;500,00 €;72,55 €;;20,00 €;;;21,99 €;1,83 €;325,00 €;5,99 €;;0,00 €;100,00 €;0,00 €;0,00 €;0,00 €;1.833,38 €;
febbraio;2026;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;
marzo;2026;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;
aprile;2026;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;
maggio;2026;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;
giugno;2026;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;
luglio;2026;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;
agosto;2026;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;
settembre;2026;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;
ottobre;2026;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;
novembre;2026;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;
dicembre;2026;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;
Totale anno;2026;7,00 €;68,00 €;15,00 €;9,60 €;10,95 €;606,47 €;0,00 €;69,00 €;500,00 €;72,55 €;0,00 €;20,00 €;0,00 €;0,00 €;21,99 €;1,83 €;325,00 €;5,99 €;0,00 €;0,00 €;100,00 €;0,00 €;0,00 €;0,00 €;1.833,38 €;
